model,manufacturer,year,color,transmission,fuel_type,engine_type,horsepower,height,width,length,ground_clearance,body_type,car_type
Corolla,Toyota,2015,Red,Manual,Petrol,V6,185,1600,1800,4400,170,Sedan,2 Wheels
Civic,Honda,2018,Blue,Automatic,Petrol,Inline-4,174,1500,1700,4200,160,Sedan,2 Wheels
Accord,Honda,2020,Black,Manual,Diesel,V6,198,1800,1900,4600,180,Sedan,2 Wheels
Camry,Toyota,2012,White,Automatic,Petrol,Inline-4,203,1700,1800,4400,170,Sedan,2 Wheels
Mustang,Ford,2019,Red,Manual,Petrol,V8,450,1600,1900,4800,190,Coupe,Sports
Camaro,Chevrolet,2017,Blue,Automatic,Petrol,V8,455,1800,2000,4800,180,Coupe,Sports
Challenger,Dodge,2016,Black,Manual,Petrol,V8,375,1700,1900,4600,170,Coupe,Sports
Model 3,Tesla,2022,Black,Automatic,Electric,Electric,283,1440,1850,4694,140,Sedan,Electric
Explorer,Ford,2022,Silver,Automatic,Petrol,V6,300,1700,1900,4600,170,SUV,All Wheels
Tucson,Hyundai,2013,Green,Manual,Diesel,Inline-4,182,1600,1800,4400,160,SUV,All Wheels
Civic,Honda,2011,Blue,Manual,Petrol,Inline-4,140,1500,1700,4200,150,Sedan,2 Wheels
Mustang,Ford,2019,Black,Automatic,Petrol,V8,450,1800,1900,4800,180,Coupe,Sports
Tucson,Hyundai,2017,Red,Automatic,Petrol,V6,260,1700,1900,4600,170,SUV,All Wheels
Civic,Honda,2014,White,Automatic,Petrol,Inline-4,143,1500,1700,4200,160,Sedan,2 Wheels
Explorer,Ford,2016,Blue,Manual,Diesel,V6,250,1800,2000,4800,180,SUV,All Wheels
Camry,Toyota,2018,Red,Automatic,Petrol,Inline-4,203,1700,1800,4400,170,Sedan,2 Wheels
Leaf,Nissan,2019,Green,Automatic,Electric,Electric,147,1550,1690,4490,150,Hatchback,Electric
Accord,Honda,2021,Black,Manual,Diesel,V6,200,1800,1900,4600,180,Sedan,2 Wheels
Corolla,Toyota,2013,Blue,Manual,Petrol,V6,180,1600,1800,4400,170,Sedan,2 Wheels
F-150,Ford,2020,White,Automatic,Petrol,V8,395,1800,2000,4800,180,Truck,2 Wheels
Challenger,Dodge,2015,Black,Automatic,Petrol,V8,372,1700,1900,4600,170,Coupe,Sports
Tucson,Hyundai,2019,Green,Manual,Diesel,Inline-4,180,1600,1800,4400,160,SUV,All Wheels
Civic,Honda,2016,Blue,Automatic,Petrol,Inline-4,158,1500,1700,4200,150,Sedan,2 Wheels
Explorer,Ford,2015,Silver,Automatic,Petrol,V6,290,1800,2000,4800,180,SUV,All Wheels
Tucson,Hyundai,2014,Green,Automatic,Petrol,V6,270,1700,1900,4600,170,SUV,All Wheels
e-tron,Audi,2019,Blue,Automatic,Electric,Electric,402,1650,1935,4901,170,SUV,Electric
Camaro,Chevrolet,2020,Black,Manual,Petrol,V8,455,1800,2000,4800,180,Coupe,Sports
F-150,Ford,2017,White,Automatic,Petrol,V6,290,1800,2000,4800,180,Truck,2 Wheels
Explorer,Ford,2019,Blue,Manual,Diesel,V6,250,1800,2000,4800,180,SUV,All Wheels
